车次,trip_id,方向,计划股道,上一站,下一站,接车侧咽喉,发车侧咽喉,计划到达时刻,计划出发时刻,停留时间(分钟),inbound_operation_duration_min,minimum_track_occupation_min,outbound_operation_duration_min
IC754,240326,到达,1,前方站,后方站,西咽喉,东咽喉,08:02:00,08:02:00,2,11,2,6
IC792,1601176,出发,2,前方站,后方站,东咽喉,西咽喉,08:02:00,08:02:00,2,6,2,11
IC195,132152,到达,3,前方站,后方站,西咽喉,东咽喉,08:02:00,08:02:00,2,8,2,7
IC529,1235111,出发,4,前方站,后方站,西咽喉,东咽喉,08:02:00,08:02:00,2,7,2,7
ICE1196,890441,到达,5,前方站,后方站,西咽喉,东咽喉,08:02:00,08:08:00,6,11,6,6
ICE1235,481119,出发,6,前方站,后方站,东咽喉,西咽喉,08:02:00,08:08:00,6,11,6,11
ICE755,1693084,到达,7,前方站,后方站,东咽喉,西咽喉,08:02:00,08:08:00,6,10,6,6
ICE1240,722217,出发,8,前方站,后方站,东咽喉,西咽喉,08:09:00,08:15:00,6,10,6,9
ICE976,663506,到达,9,前方站,后方站,东咽喉,西咽喉,08:09:00,08:15:00,6,6,6,6
ICE1258,1433177,出发,10,前方站,后方站,西咽喉,东咽喉,08:09:00,08:15:00,6,6,6,7
ICE850,6551,到达,11,前方站,后方站,东咽喉,西咽喉,08:09:00,08:15:00,6,7,6,10
ICE949,977955,出发,12,前方站,后方站,东咽喉,西咽喉,08:10:00,08:10:00,2,10,2,6
ICE635,791864,到达,13,前方站,后方站,西咽喉,东咽喉,08:10:00,08:10:00,2,10,2,7
ICE1310,1352411,出发,14,前方站,后方站,东咽喉,西咽喉,08:10:00,08:10:00,2,11,2,11
ICE1038,196202,到达,15,前方站,后方站,东咽喉,西咽喉,08:12:00,08:12:00,2,11,2,10
ICE1543,1333347,出发,16,前方站,后方站,西咽喉,东咽喉,08:12:00,08:12:00,2,9,2,7
ICE630,1279840,到达,17,前方站,后方站,西咽喉,东咽喉,08:12:00,08:12:00,2,9,2,10
ICE734,388271,出发,18,前方站,后方站,东咽喉,西咽喉,08:12:00,08:12:00,2,8,2,12
ICE1390,1156675,到达,19,前方站,后方站,西咽喉,东咽喉,08:12:00,08:12:00,2,12,2,6
ICE1539,938888,出发,20,前方站,后方站,东咽喉,西咽喉,08:12:00,08:12:00,2,12,2,12
ICE1265,186153,到达,21,前方站,后方站,东咽喉,西咽喉,08:13:00,08:20:00,7,7,7,11
ICE539,454223,出发,22,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,9,7,8
ICE661,321812,到达,23,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,8,7,7
ICE838,173419,出发,24,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,7,7,12
ICE1138,1006141,到达,25,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,8,7,6
ICE960,1502669,出发,26,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,6,7,9
ICE514,1363793,到达,27,前方站,后方站,西咽喉,东咽喉,08:13:00,08:13:00,2,6,2,8
ICE1552,1294462,出发,28,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,12,7,8
ICE1468,1614499,到达,29,前方站,后方站,西咽喉,东咽喉,08:13:00,08:20:00,7,10,7,8
ICE1225,23095,出发,1,前方站,后方站,西咽喉,东咽喉,08:14:00,08:21:00,7,12,7,6
ICE624,44550,到达,3,前方站,后方站,西咽喉,东咽喉,08:14:00,08:21:00,7,11,7,9
ICE1418,1403362,出发,5,前方站,后方站,西咽喉,东咽喉,08:14:00,08:20:00,6,10,6,6
ICE700,889174,到达,7,前方站,后方站,西咽喉,东咽喉,08:14:00,08:20:00,6,9,6,6
ICE1494,318439,出发,2,前方站,后方站,西咽喉,东咽喉,08:14:00,08:20:00,6,10,6,8
